400,375,372,2,1
150,148,16,4,2
150,139,108,16,3
150,162,12,67,4
150,118,113,5,5
350,376,141,6,6
200,229,158,61,7
100,86,18,13,8
250,228,22,172,9
350,349,264,36,10
350,349,339,3,11
400,371,226,7,12
400,426,280,5,13
400,388,244,127,14
150,119,81,31,15
150,153,39,92,16
400,413,151,192,17
400,403,72,75,18
150,122,94,15,19
200,160,113,25,20
300,322,88,172,21
400,396,146,116,22
300,344,12,200,23
100,105,88,13,24
350,303,1,88,25
400,371,322,1,26
100,107,68,18,27
350,367,346,7,28
350,399,331,47,29
400,364,239,16,30
400,365,299,61,31
350,380,369,1,32
350,338,122,71,33
200,200,31,129,34
200,241,206,20,35
300,350,50,39,36
150,129,58,18,37
300,342,49,255,38
200,188,79,62,39
400,402,292,43,40
150,146,58,84,41
350,384,225,104,42
400,378,144,89,43
250,206,161,39,44
100,58,21,34,45
100,91,26,25,46
300,251,146,38,47
150,192,16,170,48
400,414,229,19,49
100,146,130,9,50
200,210,120,22,51
300,274,256,6,52
250,276,144,107,53
200,208,197,8,54
250,237,19,68,55
200,152,76,2,56
350,304,108,97,57
300,301,219,82,58
250,277,172,50,59
150,183,33,15,60
250,265,91,52,61
100,53,21,18,62
100,77,15,24,63
100,142,116,13,64
200,169,126,43,65
200,164,4,105,66
300,275,109,73,67
250,273,213,47,68
400,448,21,409,69
150,151,116,12,70
150,111,69,24,71
100,106,92,1,72
200,152,90,25,73
300,309,138,129,74
400,355,68,19,75
350,322,74,56,76
100,70,3,21,77
300,336,331,3,78
100,87,53,34,79
250,206,123,39,80
150,152,63,43,81
100,92,70,2,82
300,293,170,107,83
100,132,68,37,84
200,215,25,101,85
100,146,61,72,86
400,445,414,16,87
350,324,117,163,88
150,174,73,86,89
250,262,129,71,90
150,127,11,74,91
150,129,57,2,92
100,145,56,53,93
400,441,201,173,94
400,425,183,43,95
350,368,331,29,96
